code,locale,name,descr
it,en,Italy,"Italy is a country that consists of a peninsula delimited by the Alps and several islands surrounding it."
us,en,USA,"The United States of America (U.S.A. or USA), commonly known as the United States (U.S. or US) or America, is a transcontinental country located primarily in North America."
gb,en,Great Britain,"Great Britain is an island in the North Atlantic Ocean off the northwest coast of continental Europe."
au,en,Australia,"Australia, officially the Commonwealth of Australia, is a sovereign country comprising the mainland of the Australian continent, the island of Tasmania, and numerous smaller islands"
de,en,Germany,"Germany is a country in Central Europe. It is the second most populous country in Europe after Russia, and the most populous member state of the European Union"
ru,en,Russia,"Russia, or the Russian Federation, is a transcontinental country spanning Eastern Europe and Northern Asia"
it,de,Italien,"Italien ist ein Land, das aus einer von den Alpen begrenzten Halbinsel und mehreren sie umgebenden Inseln besteht."
us,de,Vereinigte Staaten von Amerika,"Die Vereinigten Staaten von Amerika (USA oder USA), allgemein bekannt als die Vereinigten Staaten (USA oder US) oder Amerika, sind ein transkontinentales Land, das hauptsächlich in Nordamerika liegt."
gb,de,Großbritannien,"Großbritannien ist eine Insel im Nordatlantik vor der Nordwestküste Kontinentaleuropas."
au,de,Australien,"Australien, offiziell Commonwealth of Australia, ist ein souveräner Staat, der das Festland des australischen Kontinents, die Insel Tasmanien und zahlreiche kleinere Inseln umfasst."
de,de,Deutschland,"Deutschland ist ein Staat in Mitteleuropa. Es ist nach Russland das zweitbevölkerungsreichste Land Europas und der bevölkerungsreichste Mitgliedsstaat der Europäischen Union."
ru,de,Russland,"Russland, oder die Russische Föderation, ist ein transkontinentales Land, das sich über Osteuropa und Nordasien erstreckt."
it,it,Italia,"L'Italia è un paese costituito da una penisola delimitata dalle Alpi e da diverse isole che la circondano."
us,it,Stati Uniti d'America,"Gli Stati Uniti d'America (USA o USA), comunemente noti come Stati Uniti (USA o USA) o America, sono un paese transcontinentale situato principalmente nel Nord America."
gb,it,Gran Bretagna,"La Gran Bretagna è un'isola nell'Oceano Atlantico settentrionale al largo della costa nord-occidentale dell'Europa continentale."
au,it,Australia,"L'Australia, ufficialmente Commonwealth of Australia, è un paese sovrano che comprende la terraferma del continente australiano, l'isola della Tasmania e numerose isole minori."
de,it,Germania,"La Germania è un paese dell'Europa centrale. È il secondo paese più popoloso d'Europa dopo la Russia e lo stato membro più popoloso dell'Unione Europea."
ru,it,Russia,"La Russia, o Federazione Russa, è un paese transcontinentale che abbraccia l'Europa orientale e l'Asia settentrionale"
